recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src,source,rcp_seq
사과 크랜베리 크로스타다,,,,8,6 to 8 - servings,"3 큰술 버터, 900g 그라니 스미스 사과 (또는 다른 단단하고 아삭한 사과), 껍질을 벗기고, 4등분하고, 씨를 제거한 후 0.6cm 두께로 슬라이스, 450g 매킨토시 사과 (또는 조리 시 부서지는 부드러운 사과), 껍질을 벗기고, 4등분하고, 씨를 제거한 후 0.6cm 두께로 슬라이스, ½ 컵 설탕, ½ 컵 말린 크랜베리, 1 장 냉동 퍼프 페이스트리, 해동했지만 여전히 차가운 상태 (포장 지침 따르기), 1 개 계란 흰자, 가볍게 휘저은 것, 1 큰술 설탕, 1 컵 선택 사항: 아이스크림 또는 가볍게 단 맛을 낸 휘핑 크림","큰 프라이팬에 중불로 버터를 녹입니다. 사과, ½ 컵 설탕, 크랜베리를 추가하고 덮은 후 사과에서 액체가 나올 때까지 약 5분간 조리합니다. 뚜껑을 제거하고 부드러운 사과가 부서지고 주스가 얇은 시럽 농도로 걸쭉해질 때까지 자주 저으면서 약 5분 더 조리합니다. 큰 가장자리가 있는 쿠키 시트나 젤리롤 팬에 붓고 실온에서 식힙니다. (밀폐 용기에 담아 냉장 보관 시 최대 5일 가능합니다.)
오븐 선반을 낮은 위치로 조정하고 오븐을 200도로 예열합니다. 가벼운 밀가루를 뿌린 작업대에 퍼프 페이스트리 시트를 펼칩니다. 약 25cm x 40cm 크기로 밀어 직사각형으로 만듭니다. 큰 쿠키 시트로 옮깁니다. (시트를 유산지로 덮는 것을 추천합니다; 이는 크로스타다가 달라붙지 않도록 하고 청소를 쉽게 해줍니다.)
조리된 사과를 페이스트리 위에 펼치고 5cm의 여백을 남깁니다. 사과 위로 페이스트리 가장자리를 접습니다. 모서리를 펼치고 주름을 만들어 반죽이 겹치지 않도록 합니다. 페이스트리 가장자리에 계란 흰자를 바르고 나머지 1 큰술 설탕을 뿌립니다. 페이스트리가 황금 갈색이 될 때까지 25~30분간 굽습니다. 따뜻하게 또는 실온에서 선택 사항인 아이스크림이나 휘핑 크림과 함께 제공합니다.",4.4,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,/디저트/과일 디저트/사과 디저트 레시피/,"Total Fat 18g 23%, Saturated Fat 7g 34%, Cholesterol 19mg 6%, Sodium 128mg 6%, Total Carbohydrate 60g 22%, Dietary Fiber 5g 16%, Total Sugars 40g, Protein 4g, Vitamin C 8mg 42%, Calcium 35mg 3%, Iron 1mg 6%, Potassium 245mg 5%","Servings: 8, Yield: 6 to 8 - servings",https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg,allrecipes,
할머니 오플의 사과 파이,30 mins,1 hrs,1 hrs 30 mins,8,1 9-inch pie,"작은 그레니 스미스 사과 8개, 또는 필요에 따라, 무염 버터 ½컵, 다목적 밀가루 3큰술, 백설탕 ½컵, 갈색 설탕 ½컵, 물 ¼컵, 해동된 9인치 더블 크러스트 파이 반죽 1개","사과의 껍질을 벗기고 씨를 제거한 후 얇게 썬다. 따로 둔다.
오븐을 220도(425도 F)로 예열한다.
중불에서 팬에 버터를 녹인다. 밀가루를 추가하고 반죽이 될 때까지 저어준다; 약 1~2분 동안 향이 날 때까지 조리한다. 두 가지 설탕과 물을 추가하고 끓인다. 불을 약하게 줄이고 3~5분 동안 끓인다. 불에서 내린다.
9인치 파이 팬의 바닥과 옆면에 하나의 반죽을 눌러 넣는다. 나머지 반죽을 밀어서 파이의 가장자리를 약 1.5cm 정도 넘게 한다. 반죽을 1인치 길이의 여덟 개의 스트립으로 자른다.
얇게 썬 사과를 바닥 크러스트에 놓고 약간의 둔덕을 만든다. 네 개의 반죽 스트립을 수직으로 고르게 간격을 두고 사과 위에 놓는다. 중앙에는 긴 스트립을, 가장자리에는 짧은 스트립을 사용한다.
겹겹이 얹는 크러스트 만들기: 첫 번째와 세 번째 스트립을 모두 뒤로 접어 파이에서 거의 떨어지게 한다. 사용하지 않은 스트립 중 하나를 두 번째와 네 번째 스트립 위에 수직으로 놓고, 첫 번째와 세 번째 스트립을 다시 원래 위치로 펼친다.
두 번째와 네 번째 수직 스트립을 다시 접는다. 사용하지 않은 세 개의 스트립 중 하나를 수직으로 위에 놓고, 두 번째와 네 번째 스트립을 다시 원래 위치로 펼친다.
6단계와 7단계를 반복하여 마지막 두 개의 반죽 스트립을 엮는다. 필요에 따라 가장자리를 접고 남은 반죽을 다듬고, 꼬집어 고정한다.
설탕-버터 혼합물을 겹겹이 얹은 크러스트 위에 천천히 부드럽게 붓고, 얇게 썬 사과 위로 스며들도록 한다. 겹겹이 얹은 부분에도 조금 발라주되, 옆으로 흘러내리지 않도록 주의한다.
예열된 오븐에서 15분 동안 굽는다. 온도를 175도(350도 F)로 낮추고 사과가 부드러워질 때까지 35~45분 더 굽는다.",4.8,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,/디저트/파이/사과파이 레시피/,"Total Fat 19g 24%, Saturated Fat 9g 46%, Cholesterol 31mg 10%, Sodium 124mg 5%, Total Carbohydrate 52g 19%, Dietary Fiber 3g 10%, Protein 2g, Vitamin C 5mg 27%, Calcium 23mg 2%, Iron 1mg 6%, Potassium 156mg 3%","Prep Time: 30 mins, Cook Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg,allrecipes,
사라의 홈메이드 사과소스,10 mins,15 mins,25 mins,4,,"사과 4개 - 껍질을 벗기고, 씨를 제거한 후 잘게 썬 것, 물 ¾컵, 백설탕 ¼컵, 계피 가루 ½작은술","사과, 물, 설탕, 계피를 냄비에 넣고 섞은 후 뚜껑을 덮고 중불에서 사과가 부드러워질 때까지 약 15~20분 동안 조리합니다.
사과 혼합물이 식으면 포크나 감자 으깨는 도구로 원하는 농도가 될 때까지 으깹니다.",4.8,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,/반찬/사과소스 레시피/,"Total Fat 0g 0%, Sodium 3mg 0%, Total Carbohydrate 32g 12%, Dietary Fiber 4g 13%, Total Sugars 27g, Protein 0g, Vitamin C 6mg 32%, Calcium 13mg 1%, Iron 0mg 1%, Potassium 150mg 3%","Prep Time: 10 mins, Cook Time: 15 mins, Total Time: 25 mins, Servings: 4",https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg,allrecipes,
사과 크리스프,30 mins,45 mins,1 hrs 15 mins,12,1 9x13-inch pan,"10컵의 사과, 껍질을 벗기고, 씨를 제거하고, 슬라이스한 것, 1컵의 백설탕, 1큰술의 다목적 밀가루, 1작은술의 계피 가루, ½컵의 물, 1컵의 즉석 오트밀, 1컵의 다목적 밀가루, 1컵의 포장된 갈색 설탕, ¼작은술의 베이킹 파우더, ¼작은술의 베이킹 소다, ½컵의 녹인 버터","오븐을 175도(섭씨)로 예열합니다.
슬라이스한 사과를 9x13인치 베이킹 접시에 놓습니다. 백설탕, 1큰술의 밀가루, 계피를 함께 섞어 사과 위에 뿌립니다. 물을 사과 위에 고르게 부어줍니다.
큰 그릇에 오트밀, 1컵의 밀가루, 갈색 설탕, 베이킹 파우더, 베이킹 소다를 섞습니다. 녹인 버터를 추가하고 포크로 부서질 때까지 섞은 후, 사과 혼합물 위에 고르게 뿌립니다.
예열된 오븐에서 윗면이 황금빛 갈색이 되고 사과 가장자리가 부풀어 오를 때까지 약 45분간 굽습니다.",4.7,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,/디저트/크리스프와 크럼블 레시피/사과 크리스프와 크럼블 레시피/,"Total Fat 8g 11%, Saturated Fat 5g 25%, Cholesterol 20mg 7%, Sodium 98mg 4%, Total Carbohydrate 61g 22%, Dietary Fiber 3g 12%, Total Sugars 44g, Protein 2g, Vitamin C 4mg 21%, Calcium 36mg 3%, Iron 1mg 6%, Potassium 162mg 3%","Prep Time: 30 mins, Cook Time: 45 mins, Total Time: 1 hrs 15 mins, Servings: 12, Yield: 1 9x13-inch pan",https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg,allrecipes,
애플 파이 필링,20 mins,20 mins,2 hrs 40 mins,40,5 9-inch pies,"18컵 얇게 썬 사과, 3큰술 레몬 주스, 10컵 물, 4 ½컵 백설탕, 1컵 옥수수 전분, 2작은술 계피 가루, 1작은술 소금, ¼작은술 육두구 가루","큰 그릇에 사과와 레몬 주스를 섞고 따로 둡니다.
중불로 달라진 오븐에 물을 붓습니다. 다른 그릇에 설탕, 옥수수 전분, 계피, 소금, 육두구를 섞어 물에 추가하고 잘 저어 끓입니다. 2분간 끓이면서 계속 저어줍니다.
사과를 추가하고 다시 끓입니다. 불을 줄이고 덮은 후 사과가 부드러워질 때까지 6~8분간 끓입니다. 30분간 식힙니다.
5개의 냉동 용기에 담고 1.2cm의 여유 공간을 남깁니다. 실온에서 1시간 30분 이상 식히지 않습니다.
밀봉하고 냉동합니다. 최대 12개월까지 보관할 수 있습니다.",4.7,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,/디저트/파이/애플파이레시피/,"Total Fat 0g 0%, Sodium 61mg 3%, Total Carbohydrate 33g 12%, Dietary Fiber 1g 5%, Total Sugars 28g, Protein 0g, Vitamin C 3mg 16%, Calcium 7mg 1%, Iron 0mg 1%, Potassium 63mg 1%","Prep Time: 20 mins, Cook Time: 20 mins, Additional Time: 2 hrs, Total Time: 2 hrs 40 mins, Servings: 40, Yield: 5 9-inch pies",https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg,allrecipes,
쉬운 사과 크리스프와 귀리 토핑,20 mins,40 mins,1 hrs,4,,"6개의 사과 - 껍질을 벗기고, 씨를 제거한 후 슬라이스, 2 큰술 백설탕, 1 ½ 작은술 갈은 계피, 나누어 사용, 1컵 갈색 설탕, ¾컵 오래된 스타일 귀리, ¾컵 다목적 밀가루, ½컵 차가운 버터","오븐을 350도 F (175도 C)로 예열합니다.
중간 크기의 그릇에 사과를 백설탕과 1/2 작은술의 계피와 함께 버무려 코팅한 후, 9인치 정사각형 베이킹 접시에 붓습니다.
다른 그릇에 갈색 설탕, 귀리, 밀가루, 1 작은술의 계피를 섞습니다. 차가운 버터를 두 개의 나이프 또는 페이스트리 블렌더로 잘라서 혼합물이 거친 부스러기처럼 보일 때까지 섞고, 사과 위에 고르게 펴고 부드럽게 눌러줍니다.
예열된 오븐에서 황금빛 갈색이 되고 옆면이 부풀어 오를 때까지 약 40분간 굽습니다.",4.7,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,/디저트/크리스프와 크럼블 레시피/사과 크리스프와 크럼블 레시피/,"Total Fat 25g 32%, Saturated Fat 15g 74%, Cholesterol 61mg 20%, Sodium 177mg 8%, Total Carbohydrate 99g 36%, Dietary Fiber 8g 27%, Total Sugars 63g, Protein 5g, Vitamin C 10mg 48%, Calcium 69mg 5%, Iron 2mg 13%, Potassium 360mg 8%","Prep Time: 20 mins, Cook Time: 40 mins, Total Time: 1 hrs, Servings: 4",https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg,allrecipes,
간단한 사과 사이다,10 mins,1 hrs,1 hrs 10 mins,8,,"1 (64 액량 온스) 병 사과 사이다, 3 개의 계피 스틱, 1 티스푼 통후추, 1 티스푼 통정향, ⅓ 컵 갈색 설탕","사과 사이다와 계피 스틱을 슬로우 쿠커에 넣습니다.
통후추와 통정향을 8인치 정사각형 치즈클로스의 중앙에 놓습니다. 치즈클로스의 가장자리를 모아 묶어 고정한 후 슬로우 쿠커에 넣습니다. 갈색 설탕을 저어 넣습니다. 센 불에서 끓어오를 때까지 요리한 후, 불을 약하게 줄이고 따뜻하게 유지합니다.",4.6,https://www.allrecipes.com/recipe/42022/easy-apple-cider/,/음료 레시피/사이다 레시피/,"Total Fat 0g 0%, Sodium 31mg 1%, Total Carbohydrate 43g 16%, Dietary Fiber 1g 3%, Total Sugars 38g, Protein 0g, Vitamin C 0mg 1%, Calcium 23mg 2%, Iron 0mg 1%, Potassium 20mg 0%","Prep Time: 10 mins, Cook Time: 1 hrs, Total Time: 1 hrs 10 mins, Servings: 8",https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg,allrecipes,
사과 크랜베리 크리스프,25 mins,40 mins,1 hrs 5 mins,8,1 8-inch crisp,"907g 그레니 스미스 사과 - 껍질을 벗기고, 씨를 제거한 후 얇게 썬 것, ¾컵 크랜베리, ¼컵 백설탕, 1큰술 계피가루, 1작은술 육두구가루","오븐을 190도(화씨 375도)로 예열합니다. 8인치 정사각형 베이킹 접시에 버터를 바릅니다.
큰 그릇에 사과, 크랜베리, 백설탕, 계피, 육두구를 섞습니다. 준비한 베이킹 접시에 고르게 펼칩니다.
같은 그릇에 오트밀, 밀가루, 갈색 설탕을 섞어 토핑을 만듭니다. 버터 조각을 넣고 포크로 부서질 때까지 섞습니다. 피칸을 넣고 섞습니다. 토핑을 사과 위에 뿌립니다.
예열된 오븐에서 사과가 부드러워지고 토핑이 황금빛 갈색이 될 때까지 40~50분간 구워줍니다.",4.6,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/,/디저트/크리스프와 크럼블 레시피/,"Total Fat 12g 15%, Saturated Fat 4g 22%, Cholesterol 15mg 5%, Sodium 47mg 2%, Total Carbohydrate 43g 16%, Dietary Fiber 4g 16%, Total Sugars 32g, Protein 2g, Vitamin C 7mg 36%, Calcium 37mg 3%, Iron 1mg 6%, Potassium 207mg 4%","Prep Time: 25 mins, Cook Time: 40 mins, Total Time: 1 hrs 5 mins, Servings: 8, Yield: 1 8-inch crisp",https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg,allrecipes,
옛날식 사과 덤플링,30 mins,1 hrs,1 hrs 30 mins,6,,"1 레시피 더블 크러스트 파이용 반죽, 6개의 큰 그랜니 스미스 사과, 껍질을 벗기고 씨를 제거함, ½컵 버터, ¾컵 갈색 설탕, 1작은술 간 계피, ½작은술 간 육두구, 3컵 물, 2컵 백설탕, 1작은술 바닐라 추출물","오븐을 400도 F(200도 C)로 예열합니다. 9x13인치 팬에 버터를 바릅니다.
가볍게 밀가루를 뿌린 표면에서 반죽을 24x16인치 직사각형으로 밀어냅니다. 8인치 정사각형 6개로 자릅니다. 각 반죽 정사각형 위에 씨를 제거한 사과를 올리고, 구멍이 위를 향하게 합니다. 버터를 8조각으로 잘라서 각 사과의 구멍에 1조각씩 넣고, 나머지 버터는 소스에 사용합니다.
갈색 설탕을 사과에 나누어 넣고, 일부는 각 사과의 구멍 안에, 나머지는 각 사과의 바닥 주위에 뿌립니다. 사과 위에 계피와 육두구를 뿌립니다.
약간 젖은 손가락 끝을 사용하여 반죽 정사각형의 한 모서리를 사과의 꼭대기로 올리고, 반대쪽 모서리도 꼭대기로 올려서 눌러줍니다. 남은 두 모서리도 올리고 봉합합니다. 사과를 완전히 밀봉하기 위해 반죽의 측면을 살짝 집어줍니다. 나머지 사과도 같은 방법으로 반복하고 준비된 베이킹 접시에 놓습니다.
큰 냄비에 물, 백설탕, 바닐라 추출물, 남겨둔 버터를 넣습니다. 중간 불에 올리고 끓입니다. 불을 낮추고 설탕이 녹을 때까지 약 5분간 끓입니다. 조심스럽게 소스를 덤플링 위에 붓습니다.
예열된 오븐에서 50~60분간 구워줍니다. 각 사과 덤플링을 디저트 그릇에 담고, 그 위에 소스를 조금 뿌립니다.",4.7,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/,/디저트/과일 디저트/사과 디저트 레시피/,"Total Fat 35g 45%, Saturated Fat 15g 74%, Cholesterol 41mg 14%, Sodium 434mg 19%, Total Carbohydrate 148g 54%, Dietary Fiber 7g 23%, Total Sugars 115g, Protein 5g, Vitamin C 11mg 53%, Calcium 52mg 4%, Iron 2mg 13%, Potassium 319mg 7%","Prep Time: 30 mins, Cook Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 6",https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg,allrecipes,
남부식 프라이드 애플,10 mins,10 mins,20 mins,4,,"½컵 버터, ½컵 백설탕, 2큰술 갈은 계피, 4개의 그랜니 스미스 사과 - 껍질을 벗기고, 씨를 제거하고, 슬라이스","중불로 큰 팬에 버터를 녹입니다. 설탕과 계피를 추가하고 설탕이 녹을 때까지 저어줍니다.
사과를 추가하고 부드러워질 때까지 5~8분간 요리합니다.",4.6,https://www.allrecipes.com/recipe/230907/southern-fried-apples/,/사이드디시/,"Total Fat 23g 30%, Saturated Fat 15g 73%, Cholesterol 61mg 20%, Sodium 165mg 7%, Total Carbohydrate 45g 16%, Dietary Fiber 5g 16%, Total Sugars 39g, Protein 1g, Vitamin C 7mg 35%, Calcium 49mg 4%, Iron 1mg 3%, Potassium 174mg 4%","Prep Time: 10 mins, Cook Time: 10 mins, Total Time: 20 mins, Servings: 4",https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg,allrecipes,
